"Certification ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"NICI00056","Commercial Tech Services","21/12/2012","Withdrawn","voluntary withdrawal","14/07/2015","Biomass boilers,Ground source heat pumps,Photovoltaics,Solar water heating,Water source heat pumps,Air source heat pumps,MCS Certificated?"
"NICI00049","Reef Solutions UK Ltd","21/12/2012","Withdrawn","voluntary withdrawal","14/07/2015","Cavity wall insulation,Draught proofing,External wall insulation systems,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation)"
"NICI00035","Transcast","14/12/2012","Withdrawn","voluntary withdrawal","14/07/2015","External wall insulation systems"
"NICI00034","J W Jones & Son","14/12/2012","Withdrawn","voluntary withdrawal","14/07/2015","Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Photovoltaics,Pipe-work insulation,Solar water heating,Water source heat pumps,Air source heat pumps,Heating controls (for wet central heating system and warm air sy"
"NICI00032","1A Autoheat Ltd t/a Gascare","14/12/2012","Withdrawn","voluntary withdrawal","14/07/2015","Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00031","Lammart Ltd","07/12/2012","Withdrawn","voluntary withdrawal","14/07/2015","Cylinder thermostats,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,Pipe-work insulation,MCS Certificated?,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00020/8","Dyson Energy Services","16/11/2012","Withdrawn","voluntary withdrawal","14/07/2015","Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00020/7","Dyson Energy Services","16/11/2012","Withdrawn","voluntary withdrawal","14/07/2015","Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00020/6","Dyson Energy Services","16/11/2012","Withdrawn","voluntary withdrawal","14/07/2015","Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00020/5","Dyson Energy Services","16/11/2012","Withdrawn","voluntary withdrawal","14/07/2015","Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00020/4","Dyson Energy Services","16/11/2012","Withdrawn","voluntary withdrawal","14/07/2015","Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00020/3","Dyson Energy Services","16/11/2012","Withdrawn","voluntary withdrawal","14/07/2015","Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00020/2","Dyson Energy Services","16/11/2012","Withdrawn","voluntary withdrawal","14/07/2015","Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00015","East Anglian Solar","16/11/2012","Withdrawn","voluntary withdrawal","14/07/2015","Photovoltaics,MCS Certificated?"
"NICI00013","Jaymac Ltd","26/10/2012","Withdrawn","voluntary withdrawal","14/07/2015","Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,MCS Certificated?,Lighting systems, fittings and controls (including rooflights, l"
"NICI01029","Thomas Energy Services Ltd","24/01/2014","Withdrawn","non-compliance","28/08/2015","Cylinder thermostats,External wall insulation systems,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01028","Planpath Ltd","24/01/2014","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00973","QSS Renewable Energy Ltd","06/12/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01292","LMPH Ltd T/A L&M Plumbing & Heating","10/07/2015","Authorised","initial authorisation","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI01025","Futures Eco System Ltd","24/01/2014","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Heating controls (for wet central heating system and warm air sy"
"NICI00478","Go Green Power","12/12/2014","Withdrawn","non-compliance","13/07/2015","External wall insulation systems"
"NICI00382","SJR","10/05/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00057","Mr Green Energy Ltd","21/12/2012","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Under-floor heating,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00022","New Horizons Renewable Ltd","30/11/2012","Withdrawn","non-compliance","06/11/2015","Ground source heat pumps,Photovoltaics,Solar water heating,Water source heat pumps,Air source heat pumps,MCS Certificated?"
"NICI01291","EE Renewables Ltd","10/07/2015","Authorised","initial authorisation","13/07/2015","Photovoltaics,MCS Certificated?"
"NICI01290","Oakwood Energy Ltd","10/07/2015","Withdrawn","voluntary withdrawal","22/07/2016","Photovoltaics,MCS Certificated?"
"NICI01289","Apolodor Ltd","10/07/2015","Authorised","initial authorisation","13/07/2015","External wall insulation systems"
"NICI01288","Green Hat Construction","10/07/2015","Withdrawn","voluntary withdrawal","14/10/2016","External wall insulation systems"
"NICI01190","Greener Times Ltd","14/11/2014","Withdrawn","non-compliance","13/07/2015","Loft or rafter insulation (including loft hatch insulation)"
"NICI01140","Emmdee Building Services Ltd","18/07/2014","Withdrawn","non-compliance","15/01/2016","Cylinder thermostats,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Photovoltaics,MCS Certificated?,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI01125","Harwood Heating Services Ltd","27/06/2014","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01098","Nationwide Gas Care","09/05/2014","Withdrawn","non-compliance","23/09/2016","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01085","The Liquid Group Ltd","25/04/2014","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01083","Energy Solutions Eco Green Ltd","25/04/2014","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01056","Heatplan Ltd","28/02/2014","Withdrawn","non-compliance","28/08/2015","Cylinder thermostats,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01050","Energy Saving Dealz","28/02/2014","Withdrawn","non-compliance","08/04/2016","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01049","NRG Home Solutions Ltd","28/02/2014","Withdrawn","voluntary withdrawal","13/07/2015","Loft or rafter insulation (including loft hatch insulation)"
"NICI01045","Spring Energy Heating & Renewables Ltd","21/02/2014","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI01034","John Leadley Ltd","31/01/2014","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01031","A D Gas Services","31/01/2014","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI01019","Direct Gas Line Ltd","17/01/2014","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI01010","Heatkey Installations Ltd","17/01/2014","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01006","Cheshire Property Repairs","10/01/2014","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01002","Elite Eco Ltd","10/01/2014","Withdrawn","ceased trading","22/01/2016","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI01001","ADB Alarms ltd","10/01/2014","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00993","Kirkham Plastering Ltd","20/12/2013","Withdrawn","non-compliance","02/12/2016","External wall insulation systems"
"NICI00990","CK Heating Ltd","20/12/2013","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),MCS Certificated?,Heating controls (for wet central heating system and warm air sy"
"NICI00984","NCN Building & Maintenance Ltd","13/12/2013","Withdrawn","non-compliance","31/07/2015","Internal wall insulation (of external walls) systems,Roof insulation,Under-floor insulation"
"NICI00980","Eco Efficient System Ltd","13/12/2013","Withdrawn","non-compliance","05/02/2016","Cylinder thermostats,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00979","Munns Ltd","13/12/2013","Withdrawn","non-compliance","29/01/2016","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00978","Pipes n Lights Ltd","06/12/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00977","Eco-Free Boiler Ltd","06/12/2013","Withdrawn","non-compliance","31/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00976","Plumbgas Ltd","06/12/2013","Withdrawn","voluntary withdrawal","22/01/2016","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00971","Eco Care Solutions","06/12/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00968","Adustus Services LLP","06/12/2013","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy,Heating ventilation and air-conditioning controls (including zon"
"NICI00965","Excelsior Heating Specialists Ltd","06/12/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00961","Community Plumbing and Heating Ltd","06/12/2013","Withdrawn","non-compliance","31/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00947","Easy Gas, Electrical and Energy","22/11/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00946","D Robinson Plumbing & Heating","22/11/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00944","Green Age Solutions Ltd","22/11/2013","Withdrawn","non-compliance","13/07/2015","Cavity wall insulation,Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00941","Saunders P&H Ltd","22/11/2013","Withdrawn","voluntary withdrawal","24/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Oil-fired condensing boilers,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00931","Eco Friendly Energy Installations Ltd","15/11/2013","Withdrawn","voluntary withdrawal","13/07/2015","External wall insulation systems,Loft or rafter insulation (including loft hatch insulation)"
"NICI00929","Property Maintenance London Ltd","15/11/2013","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00925","I D Plumbing & Heating","15/11/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00920","Enhanced Developments Scotland Ltd","08/11/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00913","Mirenco Plumbing Heating Renewable","01/11/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00912","Pro- Heat Plumbing & Heating Ltd","01/11/2013","Withdrawn","voluntary withdrawal","31/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),MCS Certificated?,Heating controls (for wet central heating system and warm air sy"
"NICI00911","M44 Plumbing & Heating Ltd","01/11/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00901","Precision Installation Maintenance Services Ltd","01/11/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Pipe-work insulation,MCS Certificated?,Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"NICI00892","Des Clarke & Son","25/10/2013","Withdrawn","non-compliance","31/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00886","Ultra Gas Services","18/10/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00876","Chas Stewart Plumbing & Heating Engineers Ltd","18/10/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00866","GASK Technical Services Ltd","11/10/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00863","AJ Cliff Plumbing & Heating Services Ltd","11/10/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00862","Ampersands Energy","11/10/2013","Withdrawn","non-compliance","31/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00854","John Rae Ltd","11/10/2013","Withdrawn","voluntary withdrawal","21/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00837","Aqua Gas Hull Ltd","04/10/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00832","TAG Plumbing & Heating c/o Raf Hussain","04/10/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00828","Platinum Commercial Services Ltd","04/10/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00825","Electrical Plumbing & Gas Services Ltd","04/10/2013","Withdrawn","non-compliance","11/12/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00821","Total Build Team Ltd","27/09/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cavity wall insulation,Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Heating controls (for wet central heating system and warm air sy"
"NICI00813","Paul Copeland & Son ltd","27/09/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00811","Energy Construction Services Ltd","27/09/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00808","Trident Energy Solutions","20/09/2013","Withdrawn","non-compliance","17/09/2015","Photovoltaics,MCS Certificated?"
"NICI00807","Eurosolar (Europe) Ltd","20/09/2013","Withdrawn","non-compliance","13/07/2015","Cavity wall insulation,Cylinder thermostats,External wall insulation systems,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Photovoltaics,Pipe-work insulation,MCS Certificated?,Heating controls (for wet central heating system and warm air sy"
"NICI00798","Viresco Energy Limited","20/09/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00791","M J Harman Electrical","13/09/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00784","North East Building Services Ltd","13/09/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00780","MJG Mechanical Services Ltd","13/09/2013","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers,Under-floor heating,Heating controls (for wet central heating system and warm air sy"
"NICI00775","Ardenconnel Services Ltd","13/09/2013","Withdrawn","non-compliance","13/07/2015","Internal wall insulation (of external walls) systems"
"NICI00766","Permanex Plumbing","06/09/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00756","R N Plumbing","06/09/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00754","G D G Cladding & Construction Ltd","06/09/2013","Withdrawn","non-compliance","02/09/2016","External wall insulation systems,Internal wall insulation (of external walls) systems"
"NICI00751","Swift Response Ltd","06/09/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00748","J Osuch Plumbing & Heating","30/08/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00743","Blue Gas","30/08/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00741","Multiheat UK Ltd","30/08/2013","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00738","Dunne & White Eco Ltd","30/08/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cavity wall insulation,Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Loft or rafter insulation (including loft hatch insulation),Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI00736","Fletchrose Ltd","30/08/2013","Withdrawn","non-compliance","14/08/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00725","Associated Gas Ltd","23/08/2013","Withdrawn","non-compliance","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Heating controls (for wet central heating system and warm air sy"
"NICI00703","Moorland Heating Ltd","16/08/2013","Withdrawn","voluntary withdrawal","13/07/2015","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
